week;climatic_year;min_value;max_value
1;1982;85.684;6450.359
1;1983;85.684;6450.359
1;1984;85.684;6450.359
1;1985;85.684;6450.359
1;1986;85.684;6450.359
1;1987;85.684;6450.359
1;1988;85.684;6450.359
1;1989;85.684;6450.359
1;1990;85.684;6450.359
1;1991;85.684;6450.359
1;1992;85.684;6450.359
1;1993;85.684;6450.359
1;1994;85.684;6450.359
1;1995;85.684;6450.359
1;1996;85.684;6450.359
1;1997;85.684;6450.359
1;1998;85.684;6450.359
1;1999;85.684;6450.359
1;2000;85.684;6450.359
1;2001;85.684;6450.359
1;2002;85.684;6450.359
1;2003;85.684;6450.359
1;2004;85.684;6450.359
1;2005;85.684;6450.359
1;2006;85.684;6450.359
1;2007;85.684;6450.359
1;2008;85.684;6450.359
1;2009;85.684;6450.359
1;2010;85.684;6450.359
1;2011;85.684;6450.359
1;2012;85.684;6450.359
1;2013;85.684;6450.359
1;2014;85.684;6450.359
1;2015;85.684;6450.359
1;2016;85.684;6450.359
1;2017;85.684;6450.359
2;1982;78.283;6494.671
2;1983;78.283;6494.671
2;1984;78.283;6494.671
2;1985;78.283;6494.671
2;1986;78.283;6494.671
2;1987;78.283;6494.671
2;1988;78.283;6494.671
2;1989;78.283;6494.671
2;1990;78.283;6494.671
2;1991;78.283;6494.671
2;1992;78.283;6494.671
2;1993;78.283;6494.671
2;1994;78.283;6494.671
2;1995;78.283;6494.671
2;1996;78.283;6494.671
2;1997;78.283;6494.671
2;1998;78.283;6494.671
2;1999;78.283;6494.671
2;2000;78.283;6494.671
2;2001;78.283;6494.671
2;2002;78.283;6494.671
2;2003;78.283;6494.671
2;2004;78.283;6494.671
2;2005;78.283;6494.671
2;2006;78.283;6494.671
2;2007;78.283;6494.671
2;2008;78.283;6494.671
2;2009;78.283;6494.671
2;2010;78.283;6494.671
2;2011;78.283;6494.671
2;2012;78.283;6494.671
2;2013;78.283;6494.671
2;2014;78.283;6494.671
2;2015;78.283;6494.671
2;2016;78.283;6494.671
2;2017;78.283;6494.671
3;1982;78.619;6498.378
3;1983;78.619;6498.378
3;1984;78.619;6498.378
3;1985;78.619;6498.378
3;1986;78.619;6498.378
3;1987;78.619;6498.378
3;1988;78.619;6498.378
3;1989;78.619;6498.378
3;1990;78.619;6498.378
3;1991;78.619;6498.378
3;1992;78.619;6498.378
3;1993;78.619;6498.378
3;1994;78.619;6498.378
3;1995;78.619;6498.378
3;1996;78.619;6498.378
3;1997;78.619;6498.378
3;1998;78.619;6498.378
3;1999;78.619;6498.378
3;2000;78.619;6498.378
