week;min_value;max_value
1;0.32;0.79
2;0.306;0.772
3;0.292;0.754
4;0.278;0.736
5;0.264;0.718
6;0.25;0.7
7;0.233;0.667
8;0.215;0.635
9;0.198;0.603
10;0.18;0.57
11;0.175;0.568
12;0.17;0.565
13;0.165;0.563
14;0.16;0.56
15;0.172;0.544
16;0.184;0.528
17;0.196;0.512
18;0.208;0.496
19;0.22;0.48
20;0.247;0.537
21;0.275;0.595
22;0.302;0.652
23;0.33;0.71
24;0.395;0.735
25;0.46;0.76
26;0.525;0.785
27;0.59;0.81
28;0.6;0.822
29;0.61;0.834
30;0.62;0.846
31;0.63;0.858
32;0.64;0.87
33;0.637;0.877
34;0.635;0.885
35;0.633;0.893
36;0.63;0.9
37;0.625;0.9
38;0.62;0.9
39;0.615;0.9
40;0.61;0.9
41;0.598;0.902
42;0.586;0.904
43;0.574;0.906
44;0.562;0.908
45;0.55;0.91
46;0.515;0.912
47;0.48;0.915
48;0.445;0.917
49;0.41;0.92
50;0.388;0.888
51;0.366;0.857
52;0.344;0.825
53;0.322;0.793
